No,classification,Question,Option A,Option B,Option C,Option D,Correct option,Multiple Choice or Not,domain,sub_topic,difficulty,ability_type,source_url,license,review_status,expert
1,Hard,"In EigenLayer's restaking mechanism, consider an AVS (Actively Validated Service) with a slashing condition that triggers when >33% of restaked ETH validators fail to reach consensus within 12 seconds. If the total restaked ETH is 2.4M ETH, the base slashing rate is 0.5%, and there's a correlation penalty multiplier of 1.5x for correlated failures, what is the maximum potential slashing amount when 850,000 ETH worth of validators experience correlated failures?","Approximately 4,250 ETH","Approximately 6,375 ETH","Approximately 8,500 ETH","Approximately 12,750 ETH",B,No,Tokenomics,Staking & Restaking,Hard,Calculation,https://www.coindesk.com/learn/what-is-staking/,CC-BY-4.0,Expert_Verified,Ziang Ling
2,Hard,"Select all mechanisms that are fundamental to the ve(3,3) tokenomics model as implemented in protocols like Solidly and its forks:",Vote-escrowed tokens with time-weighted voting power decay,Bribes distribution proportional to voting power allocation,Rebase rewards that increase with total locked supply,"Anti-dilution mechanisms through (3,3) game theory equilibrium","A, B, D",Yes,Tokenomics,Vote-Escrowed Tokenomics,Hard,Logical Reasoning,https://www.investopedia.com/tokenomics-definition-5218904,CC-BY-4.0,Expert_Verified,Ziang Ling
3,Hard,"In a bonding curve AMM with the formula P = k * S^n, where P is price, S is supply, k is a constant, and n is the curve exponent, if k=0.00001, n=1.5, and the current supply is 1,000,000 tokens, what is the marginal cost to purchase the next 100,000 tokens?",Approximately 94.28 ETH,Approximately 108.15 ETH,Approximately 125.44 ETH,Approximately 142.67 ETH,A,No,Tokenomics,Vote-Escrowed Tokenomics,Hard,Calculation,https://academy.binance.com/en/articles/bonding-curves-explained,CC-BY-4.0,Expert_Verified,Ziang Ling
4,Hard,Which of the following represent critical vulnerabilities in liquid staking derivative (LSD) protocols that can lead to systemic risk?,Validator set concentration leading to correlated slashing events,Oracle manipulation affecting the LSD/ETH exchange rate,Liquidity cascades during mass unstaking events,MEV extraction reducing staking rewards below market rates,"A, B, C",Yes,Tokenomics,Staking & Restaking,Hard,Logical Reasoning,https://ethereum.org/en/staking/,CC-BY-4.0,Expert_Verified,Ziang Ling
5,Hard,"In a cross-chain bridge using optimistic verification with a 7-day challenge period, if the bridge has $100M TVL, the challenge bond is 1% of transaction value, and the fraud proof success rate is 99%, what is the expected annual cost of fraud for a bridge processing $120M in monthly volume?","Approximately $144,000","Approximately $172,800","Approximately $201,600","Approximately $230,400",A,No,Tokenomics,Vote-Escrowed Tokenomics,Hard,Calculation,https://ethereum.org/en/developers/docs/standards/tokens/,CC-BY-4.0,Expert_Verified,Ziang Ling
6,Hard,Select all factors that contribute to the 'convenience yield' premium in liquid staking tokens as described in recent academic literature:,Immediate liquidity compared to native staking lockup periods,Composability with DeFi protocols for additional yield,Lower slashing risk through validator diversification,Reduced gas costs for staking operations,"A, B, C",Yes,Tokenomics,Staking & Restaking,Hard,Logical Reasoning,https://academy.binance.com/en/articles/what-is-staking,CC-BY-4.0,Expert_Verified,Ziang Ling
7,Hard,"In a real-yield protocol where 70% of revenue is distributed to token holders and 30% is retained for protocol development, if the protocol generates $2.4M monthly revenue with a token supply of 10M tokens trading at $8, and the distribution follows a ve-model with maximum lock multiplier of 4x, what is the effective annual yield for maximum-locked tokens?",Approximately 50.4%,Approximately 67.2%,Approximately 84.0%,Approximately 100.8%,C,No,Tokenomics,Vote-Escrowed Tokenomics,Hard,Calculation,https://chain.link/education-hub/tokenomics,CC-BY-4.0,Expert_Verified,Ziang Ling
8,Hard,Which of the following represent advanced MEV extraction strategies that require sophisticated tokenomics design to mitigate?,Time-bandit attacks exploiting block reorganization incentives,Cross-domain MEV extraction in rollup-to-L1 transactions,Validator-proposer collusion in PBS (Proposer-Builder Separation),Just-in-time liquidity provision for sandwich attacks,"A, B, C",Yes,Tokenomics,MEV & Block Building,Hard,Logical Reasoning,https://ethereum.org/en/developers/docs/mev/,CC-BY-4.0,Expert_Verified,Ziang Ling
9,Hard,"In a quadratic voting governance system with token-weighted quadratic costs, if a proposal requires 10,000 vote credits to pass and voters have token holdings of [1000, 2500, 5000, 7500, 10000], what is the minimum coalition size needed to pass the proposal assuming rational voting behavior and quadratic cost formula cost = votes^2 / tokens?",2 voters (7500 + 10000 tokens),3 voters (2500 + 5000 + 7500 tokens),3 voters (5000 + 7500 + 10000 tokens),4 voters (1000 + 2500 + 5000 + 7500 tokens),A,No,Tokenomics,Vote-Escrowed Tokenomics,Hard,Calculation,https://www.coindesk.com/learn/what-is-dao-governance/,CC-BY-4.0,Expert_Verified,Ziang Ling
10,Hard,Select all mechanisms that are essential for sustainable tokenomics in Real-World Asset (RWA) protocols:,Regulatory compliance frameworks for asset custody and transfer,Oracle systems for real-time asset valuation and yield distribution,Insurance mechanisms for asset default and liquidation events,Cross-jurisdictional legal frameworks for token holder rights,"A, B, C, D",Yes,Tokenomics,Real-World Assets,Hard,Logical Reasoning,https://academy.binance.com/en/articles/what-are-real-world-assets-rwa,CC-BY-4.0,Expert_Verified,Ziang Ling
